| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:64:9:64:88                                        | DefaultFileItem                                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItem.java:57:12:57:26                                     | DiskFileItem                                       | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItem.java:124:12:124:23                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java:51:9:51:41                                 | DefaultFileItemFactory                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java:50:12:50:33                              | DiskFileItemFactory                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/disk/DiskFileItemFactory.java:85:12:85:30                            |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java:55:16:55:50                                | DefaultFileItemFactory1                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java:54:42:54:64                              | DefaultFileItemFactory                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/DefaultFileItemFactory.java:50:12:50:33                              |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileCountLimitExceededException.java:34:9:34:29                        | FileCountLimitExceededException                    | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileCountLimitExceededException.java:33:12:33:42                     | FileUploadException                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadException.java:54:12:54:30                                 |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:42:11:42:30                                        | ItemSkippedException                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItemStream.java:42:11:42:30                                      | IOException                                        | file:///modules/java.base/java/io/IOException.class:0:0:0:0                                                                                                                                                             |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUpload.java:52:9:52:16                                             | FileUpload                                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUpload.java:51:12:51:21                                          | FileUploadBase                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                        | FileUploadBase                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                      | Object                                             | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                                                                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                        | FileUploadBase                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                      | <obinit>                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:39:23:39:36                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:52:30:52:49                                        | isMultipartContent                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:51:33:51:50                                      | getContentType                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/RequestContext.java:43:12:43:25                                      |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:56:13:56:73                                        | isMultipartContent                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:51:33:51:50                                      | startsWith                                         | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                                                                                                |
| file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:56:13:56:51                                        | isMultipartContent                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileUploadBase.java:51:33:51:50                                      | toLowerCase                                        | file:///modules/java.base/java/lang/String.class:0:0:0:0                                                                                                                                                                |
