| BigMoneyProvider                           | Lorg/joda/money/BigMoneyProvider;                               |
| Comparable<BigMoneyProvider>               | Ljava/lang/Comparable;                                          |
| BigMoneyProvider                           | Lorg/joda/money/BigMoneyProvider;                               |
| Serializable                               | Ljava/io/Serializable;                                          |
| Pattern                                    | Ljava/util/regex/Pattern;                                       |
| long                                       | J                                                               |
| Pattern                                    | Ljava/util/regex/Pattern;                                       |
| CurrencyUnit                               | Lorg/joda/money/CurrencyUnit;                                   |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| CurrencyUnit                               | Lorg/joda/money/CurrencyUnit;                                   |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| MoneyUtils                                 | Lorg/joda/money/MoneyUtils;                                     |
| MoneyUtils                                 | Lorg/joda/money/MoneyUtils;                                     |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| BigInteger                                 | Ljava/math/BigInteger;                                          |
| IllegalArgumentException                   | Ljava/lang/IllegalArgumentException;                            |
| BigInteger                                 | Ljava/math/BigInteger;                                          |
| BigInteger                                 | Ljava/math/BigInteger;                                          |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| CurrencyUnit                               | Lorg/joda/money/CurrencyUnit;                                   |
| double                                     | D                                                               |
| MoneyUtils                                 | Lorg/joda/money/MoneyUtils;                                     |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| CurrencyUnit                               | Lorg/joda/money/CurrencyUnit;                                   |
| BigDecimal                                 | Ljava/math/BigDecimal;                                          |
| int                                        | I                                                               |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
| RoundingMode                               | Ljava/math/RoundingMode;                                        |
| BigMoney                                   | Lorg/joda/money/BigMoney;                                       |
