| CSVParserFactory | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:43:23:43:38 | createParser | createParser() | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:44:19:44:30 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/PerformanceTest.java:44:19:44:30 |
| CSVDuplicateHeaderTest                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:29:14:29:35                    | duplicateHeaderData                                                     | duplicateHeaderData()                                                                                                                                                                                        | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:78:30:78:48                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:78:52:744:5                     |
| CSVDuplicateHeaderTest                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:29:14:29:35                    | duplicateHeaderAllowsMissingColumnsNamesData                            | duplicateHeaderAllowsMissingColumnsNamesData()                                                                                                                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:43:30:43:73                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:43:77:64:5                      |
| CSVDuplicateHeaderTest                                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:29:14:29:35                    | CSVDuplicateHeaderTest                                                  | CSVDuplicateHeaderTest()                                                                                                                                                                                     | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:29:14:29:35                      | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVDuplicateHeaderTest.java:29:14:29:35                     |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | testCSVUrl                                                              | testCSVUrl(File)                                                                                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:107:17:107:26                         | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:107:66:152:5                         |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | testCSVFile                                                             | testCSVFile(File)                                                                                                                                                                                            | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:60:17:60:27                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:60:67:103:5                          |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | generateData                                                            | generateData()                                                                                                                                                                                               | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:44:32:44:43                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:44:47:48:5                           |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | CSVFileParserTest                                                       | CSVFileParserTest()                                                                                                                                                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                          |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | readTestData                                                            | readTestData(BufferedReader)                                                                                                                                                                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:50:20:50:31                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:50:81:56:5                           |
| CSVFileParserTest                                                | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                         | <clinit>                                                                | <clinit>()                                                                                                                                                                                                   | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                           | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/test/java/org/apache/commons/csv/CSVFileParserTest.java:39:14:39:30                          |
| Builder                                                          | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:164:25:164:31                               | setTrim                                                                 | setTrim(boolean)                                                                                                                                                                                             | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:672:24:672:30                                 | file:///home/ali/Documents/AlphaTrans/java_projects/cleaned_final_projects_evosuite/commons-csv/src/main/java/org/apache/commons/csv/CSVFormat.java:672:52:675:9                                 |
