| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getOutputStream      | getOutputStream()                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:175:18:175:32             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:175:18:175:32             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | setFormField         | setFormField(boolean)                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:165:10:165:21             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:165:10:165:21             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | isFormField          | isFormField()                               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:157:13:157:23             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:157:13:157:23             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | setFieldName         | setFieldName(String)                        | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:149:10:149:21             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:149:10:149:21             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getFieldName         | getFieldName()                              | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:142:12:142:23             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:142:12:142:23             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | delete               | delete()                                    | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:135:10:135:15             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:135:10:135:15             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | write                | write(File)                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:127:10:127:14             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:127:10:127:14             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getString            | getString()                                 | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:113:12:113:20             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:113:12:113:20             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getString            | getString(String)                           | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:105:12:105:20             | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:105:12:105:20             |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | get                  | get()                                       | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:95:12:95:14               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:95:12:95:14               |
| FileItem               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:44:18:44:25               | getSize              | getSize()                                   | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:88:10:88:16               | file:///home/ali/Documents/AlphaTrans/cleaned_reduced_projects/commons-fileupload/src/main/java/org/apache/commons/fileupload/FileItem.java:88:10:88:16               |
